"Package","Version"
"stringi","1.8.3"
"stringmagic","1.0.0"
"stringr","1.5.1"
"strucchange","1.5-3"
"styler","1.10.2"
"SuppDists","1.1-9.7"
"survey","4.2-1"
"survival","3.5-7"
"svglite","2.1.3"
"SwimmeR","0.14.2"
"sys","3.4.2"
"sysfonts","0.8.8"
"systemfit","1.1-30"
"systemfonts","1.0.5"
"targets","1.4.0"
"taxize","0.9.100"
"tensorA","0.36.2.1"
"terra","1.7-65"
"tesseract","5.2.1"
"testit","0.13"
"testthat","3.2.1"
"textshaping","0.3.7"
"TH.data","1.1-2"
"thematic","0.1.4"
"this.path","2.3.1"
"threejs","0.3.3"
"tibble","3.2.1"
"tidycensus","1.5"
"tidycmprsk","1.0.0"
"tidygraph","1.3.0"
"tidymodels","1.1.1"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tidyverse","2.0.0"
"tigris","2.0.4"
"tikzDevice","0.12.6"
"timechange","0.2.0"
"timeDate","4032.109"
"timeSeries","4032.108"
"tinylabels","0.2.4"
"tinytest","1.4.1"
"tinytex","0.49"
"tis","1.39"
"TMB","1.9.10"
"transformr","0.1.4"
"translations","4.3.2"
"tree","1.0-43"
"triebeard","0.4.1"
"trust","0.1-8"
"tseries","0.10-55"
"TSP","1.2-4"
"TTR","0.24.4"
"tune","1.1.2"
"tweenr","2.0.2"
"twosamples","2.0.1"
"tzdb","0.4.0"
"ucminf","1.2.1"
"units","0.8-5"
"UpSetR","1.4.0"
"urca","1.3-3"
"urlchecker","1.0.1"
"urltools","1.7.3"
"usethis","2.2.2"
"utf8","1.2.4"
"uuid","1.1-1"
"V8","4.4.1"
"vars","1.6-0"
"vcd","1.4-11"
"vcr","1.2.2"
"vctrs","0.6.5"
"vdiffr","1.0.7"
"vegan","2.6-4"
"VennDiagram","1.7.3"
"VGAM","1.1-9"
"viridis","0.6.4"
"viridisLite","0.4.2"
"visdat","0.6.0"
"vroom","1.6.5"
"waiter","0.2.5"
"waldo","0.5.2"
"warp","0.2.1"
"wdman","0.2.6"
"webdriver","1.0.6"
"webfakes","1.3.0"
"webmockr","0.9.0"
"webp","1.2.0"
"webshot","0.5.5"
"webshot2","0.1.1"
"websocket","1.4.1"
"whisker","0.4.1"
"whoami","1.3.0"
"WikidataQueryServiceR","1.0.0"
"WikidataR","2.3.3"
"WikipediR","1.5.0"
"wikitaxa","0.4.0"
"withr","2.5.2"
"wk","0.9.1"
"wordnet","0.1-16"
"workflows","1.1.3"
"workflowsets","1.0.1"
"worrms","0.4.3"
"writexl","1.4.2"
"WRS2","1.1-5"
"xfun","0.41"
"xlsx","0.6.5"
"xlsxjars","0.6.1"
"XML","3.99-0.16"
"xml2","1.3.6"
"xmlparsedata","1.0.5"
"xopen","1.0.0"
"xtable","1.8-4"
"xts","0.13.1"
"yaml","2.3.8"
"yardstick","1.2.0"
"yulab.utils","0.1.2"
"Z10","0.1.0"
"zeallot","0.1.0"
"zip","2.3.0"
"zipcodeR","0.3.5"
"zoo","1.8-12"
"zoom","2.0.6"
